step,price,action,position,balance,portfolio_value
0,0.09059,7,0.0,10000.0,10000.0
2,0.08969,3,33448.544988293004,7000.0,10000.0
3,0.09048,3,56658.09405991104,4900.0,10026.42435054075
4,0.09042,4,78334.71427667724,2940.0,10023.024864897157
5,0.09012,4,91383.98191981972,1764.0,9999.524450614153
6,0.09029,4,99198.80083664329,1058.4,10015.059727540522
11,0.09106,7,69439.1605856503,3768.3128412554215,10091.442804184739
19,0.0911,1,73575.61815014582,3391.4815571298795,10094.220370608164
20,0.09137,5,66218.05633513123,4063.741980167762,10114.085787508702
23,0.08244,7,46352.63943459187,5701.446949448227,9522.758544435981
25,0.08201,4,74161.18448738166,3420.8681696689364,9502.826909479107
26,0.08209,4,90830.051193041,2052.520901801362,9508.759804238096
27,0.08225,8,54498.0307158246,5040.82958605241,9523.292612428984
28,0.08262,7,38148.62150107722,6391.617775374839,9543.456883793839
52,0.07831,4,70796.39458433524,3834.9706652249033,9379.036325124196
53,0.07909,7,49557.47620903467,5514.756719527425,9434.257512899978
54,0.08112,7,34690.23334632427,6720.787460550493,9534.859189604318
59,0.07828,7,24283.16334242699,7535.4529004555725,9436.338926900757
62,0.07986,4,62026.47864648696,4521.271740273343,9474.706324981791
63,0.07864,4,85023.79166924048,2712.763044164006,9399.034021033078
64,0.07912,7,59516.65416846834,4730.887763225098,9439.845441034313
70,0.08599,7,41661.657917927834,6266.238890809076,9848.724855171691
71,0.08494,7,29163.160542549485,7327.861257873713,9804.980114357866
81,0.08079,7,20414.21237978464,8034.688779943484,9683.952998106286
82,0.0802,7,14289.948665849248,8525.854729801104,9671.908612802214
91,0.08003,4,56903.242329730805,5115.512837880662,9669.47932152902
92,0.08118,5,51212.91809675773,5577.453359113417,9734.918050208209
100,0.08161,7,35849.042667730406,6831.299232876336,9756.939604989813
103,0.08134,7,25094.329867411285,7706.087572054293,9747.260363469526
104,0.08122,7,17566.030907187902,8317.536013603636,9744.249043885437
105,0.08044,7,12296.221635031532,8741.439471455895,9730.547539777832
110,0.08024,7,8607.355144522073,9037.434118654373,9728.088295450825
117,0.07812,3,43313.32334211952,6326.203883058061,9709.840702544438
123,0.07924,7,30319.32633948366,7355.848205546927,9758.351624687612
129,0.08583,3,56030.08553398533,5149.093743882849,9958.15598526481
130,0.08692,4,79725.86898489582,3089.4562463297093,10019.228778496854
131,0.08719,7,55808.10828942707,5174.845801367629,10040.754763122775
132,0.08641,8,33484.864973656244,7103.797256283387,9997.224438657024
158,0.07812,7,23439.40548155937,7888.548551805994,9719.634908025411
165,0.0794,7,16407.58383709156,8446.875190376739,9749.63734704181
174,0.07857,1,27158.34772964182,7602.187671339065,9736.019052457023
181,0.08135,4,64538.496082876314,4561.3126028034385,9811.519259145427
182,0.08162,4,86892.39269058735,2736.787561682063,9828.944653087801
183,0.08144,8,52135.43561435241,5567.394145970637,9813.304022403496
213,0.07864,7,36494.80493004669,6797.373342984439,9667.32480268331
